NAME                                                           STATUS    NODE
blackduck-operator-vvbrz                                       Running   worker2-dev-kipp-sass-on-prem-origin-3-10
federator-hv27k                                                Running   worker2-dev-kipp-sass-on-prem-origin-3-10
prometheus-746db5486d-854zn                                    Running   worker2-dev-kipp-sass-on-prem-origin-3-10
blackduck-operator-52gxc                                       Running   worker0-dev-kipp-sass-on-prem-origin-3-10
federator-bf7zf                                                Running   worker1-dev-kipp-sass-on-prem-origin-3-10
prometheus-746db5486d-5vdqk                                    Running   worker0-dev-kipp-sass-on-prem-origin-3-10
docker-registry-1-pdnvt                                        Running   master0-dev-kipp-sass-on-prem-origin-3-10
registry-console-1-wpn6l                                       Running   master0-dev-kipp-sass-on-prem-origin-3-10
router-1-r5xjj                                                 Running   master0-dev-kipp-sass-on-prem-origin-3-10
apiserver-r6nnh                                                Running   master0-dev-kipp-sass-on-prem-origin-3-10
controller-manager-sznqb                                       Running   master0-dev-kipp-sass-on-prem-origin-3-10
master-api-master0-dev-kipp-sass-on-prem-origin-3-10           Running   master0-dev-kipp-sass-on-prem-origin-3-10
master-controllers-master0-dev-kipp-sass-on-prem-origin-3-10   Running   master0-dev-kipp-sass-on-prem-origin-3-10
master-etcd-master0-dev-kipp-sass-on-prem-origin-3-10          Running   master0-dev-kipp-sass-on-prem-origin-3-10
asb-1-nfhvk                                                    Running   master0-dev-kipp-sass-on-prem-origin-3-10
sync-4wmwd                                                     Running   worker0-dev-kipp-sass-on-prem-origin-3-10
sync-c7227                                                     Running   worker1-dev-kipp-sass-on-prem-origin-3-10
sync-p29kv                                                     Running   worker2-dev-kipp-sass-on-prem-origin-3-10
sync-tcgbg                                                     Running   master0-dev-kipp-sass-on-prem-origin-3-10
ovs-8fjpw                                                      Running   worker2-dev-kipp-sass-on-prem-origin-3-10
ovs-lztm9                                                      Running   worker0-dev-kipp-sass-on-prem-origin-3-10
ovs-sl95f                                                      Running   worker1-dev-kipp-sass-on-prem-origin-3-10
ovs-w82p6                                                      Running   master0-dev-kipp-sass-on-prem-origin-3-10
sdn-6v6lm                                                      Running   worker0-dev-kipp-sass-on-prem-origin-3-10
sdn-78bx2                                                      Running   worker2-dev-kipp-sass-on-prem-origin-3-10
sdn-8vb8d                                                      Running   master0-dev-kipp-sass-on-prem-origin-3-10
sdn-9tv75                                                      Running   worker1-dev-kipp-sass-on-prem-origin-3-10
apiserver-96jxv                                                Running   master0-dev-kipp-sass-on-prem-origin-3-10
webconsole-57d88df7d9-8bpgq                                    Running   master0-dev-kipp-sass-on-prem-origin-3-10
perceptor-7bl7b                                                Running   worker1-dev-kipp-sass-on-prem-origin-3-10
perceptor-scanner-hn7xj                                        Running   worker2-dev-kipp-sass-on-prem-origin-3-10
pod-perceiver-zzh5q                                            Running   worker1-dev-kipp-sass-on-prem-origin-3-10
prometheus-dc9854f47-ttlkf                                     Running   worker0-dev-kipp-sass-on-prem-origin-3-10
skyfire-wpt9v                                                  Running   worker2-dev-kipp-sass-on-prem-origin-3-10
cfssl-g4fts                                                    Running   worker1-dev-kipp-sass-on-prem-origin-3-10
documentation-864jp                                            Running   worker0-dev-kipp-sass-on-prem-origin-3-10
hub-authentication-md7pr                                       Running   worker0-dev-kipp-sass-on-prem-origin-3-10
hub-scan-zngbh                                                 Running   worker1-dev-kipp-sass-on-prem-origin-3-10
jobrunner-jzxjv                                                Running   worker2-dev-kipp-sass-on-prem-origin-3-10
postgres-vzvsh                                                 Running   worker0-dev-kipp-sass-on-prem-origin-3-10
registration-t7kv4                                             Running   worker1-dev-kipp-sass-on-prem-origin-3-10
solr-rqtg6                                                     Running   worker0-dev-kipp-sass-on-prem-origin-3-10
webapp-logstash-r56fl                                          Running   worker2-dev-kipp-sass-on-prem-origin-3-10
webserver-6z6l6                                                Running   worker0-dev-kipp-sass-on-prem-origin-3-10
zookeeper-w749z                                                Running   worker1-dev-kipp-sass-on-prem-origin-3-10
perceptor-dpwqg                                                Running   worker1-dev-kipp-sass-on-prem-origin-3-10
perceptor-scanner-dgl4k                                        Running   worker0-dev-kipp-sass-on-prem-origin-3-10
pod-perceiver-f6tzf                                            Running   worker0-dev-kipp-sass-on-prem-origin-3-10
prometheus-dc9854f47-7cps5                                     Running   worker1-dev-kipp-sass-on-prem-origin-3-10
